Artist,Artist_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,eng_line_ratio,eng_word_ratio,avg_rank,months_on_chart,company,gender
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Mistake,6BrhkD3BvUf1EFrWBqxVzf,0.597,0.664,2,-3.873,1,0.0293,0.307,0,0.116,0.129,124.005,249013,4,0,0,50,1,SM,Female
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Etude,7kw83bSrpGoH34GP92Y9HZ,0.716,0.912,4,-2.678,0,0.0798,0.285,0,0.0996,0.631,128.009,193853,4,0.222222222,0.162921348,50,2,SM,Female
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Way to Go,2DT90JqDCM9HOTmMBukznE,0.419,0.962,5,-1.979,1,0.195,0.0317,0,0.198,0.528,179.798,183933,4,0.113636364,0.154285714,50,5,SM,Female
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Destiny,2cHUUBY7icbhD2eDGrBDEJ,0.648,0.983,4,-2.75,0,0.0964,0.203,0,0.226,0.72,173.978,205907,4,0,0,50,2,SM,Female
TVXQ,6nVMMEywS5Y4tsHPKx1nIo,Holding Back The Tears,5r9DA7ciY71VEgcjkiZXDC,0.503,0.475,2,-7.121,1,0.0253,0.0961,0,0.0883,0.263,75.996,229867,4,0.107142857,0.096,50,1,SM,Male
TVXQ,6nVMMEywS5Y4tsHPKx1nIo,Show Me Your Love,2z3hIN6cGgKHA7ihZ8B80Y,0.688,0.903,11,-1.616,0,0.0756,0.123,0,0.304,0.668,117.033,245227,4,0,0,13.33333333,3,SM,Male
TVXQ,6nVMMEywS5Y4tsHPKx1nIo,Show Me Your Love,2z3hIN6cGgKHA7ihZ8B80Y,0.688,0.903,11,-1.616,0,0.0756,0.123,0,0.304,0.668,117.033,245227,4,0.242857143,0.230978261,40.33333333,3,SM,Male
TVXQ,6nVMMEywS5Y4tsHPKx1nIo,Hi Ya Ya ?¨Î???5lC4gziKMPSihnedZbwAEn,0.711,0.909,10,-2.431,1,0.0411,0.0128,0,0.108,0.698,126.013,211400,4,0.266666667,0.428571429,28,3,Unknown,SM,Male
SS501,6rmMpoeu2SIV4OLURCOn2e,Love Ya,6nW76DRJWhwBnhTLVripJe,0.328,0.864,1,-5.457,1,0.445,0.0271,0,0.375,0.633,167.913,205507,4,0,0,45,1,DSP Media,Male
SS501,6rmMpoeu2SIV4OLURCOn2e,Love Ya,6nW76DRJWhwBnhTLVripJe,0.328,0.864,1,-5.457,1,0.445,0.0271,0,0.375,0.633,167.913,205507,4,0.426829268,0.45144357,31.5,2,DSP Media,Male
