Artist,song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,avg_rank,months_on_chart,eng_line_ratio,eng_word_ratio,company,gender
HyunA,빨개요,0.586,0.916,9,-1.83,1,0.0712,0.0027,0,0.402,0.537,163.787,199889,4,50,1,0.324324324,0.240625,Cube,Female
HyunA,Ice Cream (Feat. Maboos),0.814,0.924,11,-2.634,1,0.0519,0.131,0,0.279,0.967,120.015,195788,4,32.75,4,0.371794872,0.528358209,Cube,Female
HyunA,고래의 꿈,0.84,0.871,10,-4.662,0,0.0639,0.0842,0.00392,0.285,0.767,146.005,212245,4,50,1,0.156862745,0.130177515,Cube,Female
HyunA,Bubble Pop!,0.84,0.871,10,-4.662,0,0.0639,0.0842,0.00392,0.285,0.767,146.005,212245,4,23.5,4,0.5,0.454545455,Cube,Female
HyunA,A Bitter Day (Feat. 용준형 & G.NA),0.717,0.78,0,-4.315,1,0.0444,0.662,0,0.182,0.705,96.038,227448,3,40.5,2,0.058139535,0.05,Cube,Female
HyunA,Change (Feat. 용준형 From Beast),0.874,0.79,1,-4.376,1,0.0521,0.0124,0,0.11,0.623,125.029,211333,4,21.5,4,0.411764706,0.548463357,Cube,Female
WINNER,AH YEAH (아예),0.798,0.721,7,-5.052,1,0.0389,0.356,0,0.177,0.876,128.012,176906,4,32.25,4,0.113924051,0.096069869,YG,Male
WINNER,ISLAND,0.816,0.758,3,-4.249,0,0.0467,0.342,0,0.349,0.79,102.983,207769,4,50,1,0.219178082,0.223826715,YG,Male
WINNER,REALLY REALLY,0.765,0.77,2,-3.16,1,0.0592,0.167,0,0.0854,0.581,103.005,203057,4,37.75,16,0.263157895,0.341911765,YG,Male
WINNER,FOOL,0.652,0.602,4,-5.452,1,0.0348,0.721,0,0.108,0.521,140.021,221793,4,50,2,0.272727273,0.270742358,YG,Male
WINNER,BABY BABY,0.534,0.527,0,-6.154,1,0.0391,0.048,0,0.33,0.314,179.908,246253,3,36,2,0.333333333,0.185,YG,Male
WINNER,센치해,0.768,0.76,7,-5.673,1,0.0619,0.287,0,0.377,0.712,118.06,209281,4,34.75,4,0.011363636,0.014760148,YG,Male
WINNER,사랑가시 (민호&태현),0.464,0.428,9,-8.062,0,0.0337,0.474,0,0.366,0.389,129.813,231793,4,50,2,0.135135135,0.120401338,YG,Male
Hyolyn,FRUITY (Prod. GroovyRoom),0.705,0.757,0,-5.242,0,0.132,0.109,0,0.1,0.813,97.02,201728,4,50,1,0.284090909,0.395061728,Starship,Female
