Artist,Artist_Id,song_name,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,avg_rank,months_on_chart,eng_line_ratio,eng_word_ratio
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,빙글빙글,Bingle Bingle (빙글빙글),5nEqDf0voYu56KiHf7cfDe,0.74,0.773,1.0,-3.324,0.0,0.0397,0.00874,0.0,0.059,0.81,125.042,180533.0,4.0,40.5,2,0.4477611940298507,0.5
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,EGO,Ego,6whEx8LRxGMFj0oqXP0vX3,0.794,0.788,10.0,-3.853,0.0,0.0404,0.0209,0.0,0.131,0.842,120.995,205200.0,4.0,36.5,2,0.4677419354838709,0.4094202898550724
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,INTRO (ALIVE),Intro (Alive),4G1DVtcCpyzcA3tBjOvF38,0.641,0.914,10.0,-4.549,0.0,0.221,0.0105,0.0,0.194,0.73,110.08,47643.0,4.0,46.0,1,0.6071428571428571,0.4036697247706422
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,BLUE,Blue,4LOLvDtzykDC7y9WehFoOi,0.608,0.706,7.0,-7.275,1.0,0.0853,0.0595,0.0,0.056,0.357,124.985,233099.0,4.0,30.2,5,0.1428571428571428,0.1359649122807017
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,사랑먼지,Love Dust (사랑 먼지),6mTFH5acKqe2fpxuFmiDjr,0.663,0.757,0.0,-5.336,1.0,0.0857,0.0337,0.0,0.267,0.56,129.888,231816.0,4.0,32.333333333333336,3,0.0350877192982456,0.0172413793103448
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,BAD BOY,Bad Boy,7GLlnuHjYIKy3YR59ziaQe,0.597,0.764,9.0,-4.859,0.0,0.139,0.0148,0.0,0.126,0.364,74.98,236817.0,4.0,24.0,3,0.449438202247191,0.4080604534005038
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,재미없어,Ain't No Fun (재미없어),4ay2yecNFJtNuPOVojzHEZ,0.766,0.557,9.0,-6.869,0.0,0.0491,0.00611,0.0,0.0818,0.747,124.027,222186.0,4.0,32.5,2,0.2253521126760563,0.2261484098939929
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,FANTASTIC BABY,Fantastic Baby,26eV0R7nbqtlzh316ncU99,0.725,0.841,2.0,-3.924,1.0,0.0545,0.002,0.0,0.0652,0.582,130.013,230573.0,4.0,21.6,5,0.4939759036144578,0.5175718849840255
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,날개 (대성 SOLO),Wings (날개) [Daesung Solo],0VpEWyA1qlKP9XkQ6f4mWB,0.622,0.812,5.0,-4.585,1.0,0.0337,0.00222,2.63e-06,0.216,0.354,131.975,222990.0,4.0,35.5,2,0.1304347826086956,0.1794871794871795
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,LOVE SONG,Love Song,784qSLhmIjbc37plSfaPzF,0.554,0.868,2.0,-3.9,1.0,0.0455,0.00273,1.06e-05,0.0725,0.301,123.04,225813.0,4.0,24.25,4,0.2435897435897435,0.3979591836734694
