Artist,Artist_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,avg_rank,weeks_on_chart,English_percent
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,Bite the lips,26dBQr6YNT7O1jtnq8HWyE,0.629,0.941,0,-1.952,1,0.0507,0.253,0,0.238,0.537,132.006,215599,4,60,1,0
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,U,7HKkudjI7pofH9oDqt3Y1T,0.791,0.871,6,-3.769,0,0.132,0.169,0,0.0923,0.805,115.025,226747,4,76.28571429,7,35.46
KARA,7aZ221EQfonNG2lO9Hh192,CUPID,07hKkdYLE3brEV4WelMT7z,0.768,0.845,6,-2.567,0,0.0644,0.00532,2.43E-06,0.0916,0.861,122.003,205793,4,40,6,21.48
KARA,7aZ221EQfonNG2lO9Hh192,Jumping,50TJXtdJhN2x6zxcp4pKZN,0.585,0.99,5,-1.781,0,0.164,0.00278,0.00178,0.2,0.776,125.974,179053,4,31.07692308,13,23.86
KARA,7aZ221EQfonNG2lO9Hh192,Tasty Love,71so1ktP0MvK9QwoNjiddB,0.643,0.861,1,-1.809,1,0.0562,0.013,7.14E-06,0.0208,0.812,159.002,186467,4,62.5,4,35.38
KARA,7aZ221EQfonNG2lO9Hh192,Lupin,3RmwOvD5VBSsqSES1GsFX6,0.693,0.927,0,-2.792,1,0.0661,0.00293,0.00668,0.118,0.543,135.934,192440,4,32.27777778,18,49.54
SHINee,2hRQKC0gqlZGPrmUKbcchR,Ring Ding Dong,4vLqN0bIxIQjlet2mIMBnx,0.835,0.934,1,-1.258,1,0.0431,0.125,0.000501,0.222,0.811,124.98,233280,4,85,1,12.46
SHINee,2hRQKC0gqlZGPrmUKbcchR,JoJo,4eIio2I0jXuzvQaoYQZWPT,0.761,0.924,2,-3.781,0,0.0331,0.0578,0,0.0541,0.78,126.01,219053,4,53.6,10,32
INFINITE,1bkpTEmumLC3xc7HgMsttU,The Eye,78f6Qp6XQhSnJksCseLMMb,0.655,0.78,2,-3.167,0,0.124,0.0291,0,0.14,0.344,117.999,240280,4,51.1,10,3.37
INFINITE,1bkpTEmumLC3xc7HgMsttU,AIR,4wghBKP9Kh0ndljLdjMzhN,0.696,0.879,4,-2.465,0,0.183,0.113,0,0.128,0.804,115.931,222160,4,52,1,30.89
